item,top_words,rating_1_to_5,suggested_label
1,"ai, digital, education, artificial, intelligence, artificial intelligence, students, nepal, tools, learning",,
2,"ai, student, education, tool, learn, financial, generative_ai, technology, skill, influence",,
3,"control, nepal, area, data, patient, change, one, controller, forecast, region",,
4,"disease, pandemic, health, covid, covid 19, 19, machine, cancer, machine learning, prediction",,
5,"stock, price, market, trading, forecasting, stock market, regularization, strategy, financial, learning",,
6,"text, news, content, nepali, opinion, sentiment, data, information, emotion, review",,
7,"accuracy, area, classification, data, performance, landslide, random_forest, map, machine_learn, nepal",,
8,"system, technology, network, framework, artificial_intelligence, security, application, integration, threat, social",,
9,"predict, power, data, complex, dynamic, analysis, prediction, performance, network, neural_network",,
10,"accuracy, data, performance, classification, prediction, image, detection, dataset, algorithm, technique",,
11,"data, analysis, factor, prediction, construction, performance, predict, control, value, estimate",,
12,"agriculture, yield, crop, nutrient, farming, irrigation, agricultural, technologies, monitoring, management",,
13,"concrete, strength, construction, compressive strength, compressive, cost, model, building, machine, machine learning",,
14,"ai, intelligence, artificial intelligence, artificial, healthcare, health, medical, review, treatment, clinical",,
15,"image, system, feature, text, detection, accuracy, classification, process, dataset, video",,
16,"drug, molecular, inhibitors, cancer, discovery, chemical, ai, compounds, screening, binding",,
17,"predict, interaction, complex, dynamic, prediction, robot, stock_market, data, value, graph",,
18,"data, factor, analysis, construction, resource, quality, automate, risk, human, index",,
19,"water, data, forest, machine, land, machine learning, learning, model, nepal, area",,
20,"system, network, power, material, framework, attack, reinforcement_learn, security, controller, detection",,
21,"nepali, system, image, language, model, text, recognition, dataset, news, accuracy",,
22,"images, cancer, model, segmentation, deep, deep learning, image, learning, accuracy, detection",,
23,"lattice, materials, properties, material, machine learning, machine, features, learning, predicting, parameters",,
24,"ai, student, education, tool, learn, financial, technology, digital, generative_ai, skill",,
25,"power, energy, system, network, wind, grid, demand, neural, neural network, control",,
26,"patient, care, ai, hospital, one, difference, misinformation, baseline, chatgpt, technology",,
27,"image, system, detection, feature, accuracy, dataset, classification, cnn, train, performance",,
28,"detection, models, leaf, learning, accuracy, deep, model, deep learning, disease, classification",,
29,"control, change, controller, area, disease, covid, vegetation, forest, load, analysis",,
30,"resource, data, review, ai, management, engineer, risk, bias, strategy, quality",,
31,"detection, learning, network, security, data, attacks, machine, cybersecurity, machine learning, cloud",,
